SampleID	Seqs/Sample	PD_whole_tree Ave.	PD_whole_tree Err.	chao1 Ave.	chao1 Err.	goods_coverage Ave.	goods_coverage Err.	observed_otus Ave.	observed_otus Err.	shannon Ave.	shannon Err.	simpson Ave.	simpson Err.
IE3	3383.0	16.971	nan	294.972	nan	0.978	nan	234.000	nan	4.967	nan	0.899	nan
IE3	3866.0	17.435	nan	312.359	nan	0.981	nan	243.400	nan	4.985	nan	0.900	nan
IE3	4349.0	17.772	nan	305.681	nan	0.984	nan	249.400	nan	4.974	nan	0.900	nan
IE3	4832.0	18.405	nan	317.216	nan	0.985	nan	260.900	nan	5.002	nan	0.900	nan
IE5	2.0	1.029	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
IE5	485.0	9.709	nan	189.438	nan	0.885	nan	109.400	nan	5.463	nan	0.956	nan
IE5	968.0	12.770	nan	252.183	nan	0.926	nan	156.400	nan	5.616	nan	0.957	nan
IE5	1451.0	14.055	nan	276.903	nan	0.947	nan	185.200	nan	5.689	nan	0.958	nan
IE5	1934.0	15.003	nan	283.592	nan	0.960	nan	209.100	nan	5.726	nan	0.958	nan
IE5	2417.0	15.983	nan	291.329	nan	0.969	nan	221.000	nan	5.748	nan	0.959	nan
IE5	2900.0	16.538	nan	298.712	nan	0.975	nan	240.100	nan	5.764	nan	0.958	nan
IE5	3383.0	17.152	nan	313.833	nan	0.978	nan	250.900	nan	5.760	nan	0.958	nan
IE5	3866.0	17.593	nan	318.601	nan	0.981	nan	261.700	nan	5.777	nan	0.958	nan
IE5	4349.0	18.131	nan	315.091	nan	0.985	nan	270.800	nan	5.793	nan	0.958	nan
IE5	4832.0	18.718	nan	329.188	nan	0.986	nan	280.800	nan	5.800	nan	0.958	nan
IE7	2.0	0.885	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
IE7	485.0	6.392	nan	130.211	nan	0.926	nan	67.700	nan	4.137	nan	0.885	nan
IE7	968.0	8.114	nan	168.352	nan	0.955	nan	91.600	nan	4.213	nan	0.887	nan
IE7	1451.0	9.290	nan	222.204	nan	0.961	nan	116.100	nan	4.287	nan	0.889	nan
IE7	1934.0	10.338	nan	203.985	nan	0.971	nan	129.100	nan	4.325	nan	0.889	nan
IE7	2417.0	11.191	nan	211.972	nan	0.976	nan	141.000	nan	4.326	nan	0.888	nan
IE7	2900.0	11.811	nan	229.198	nan	0.978	nan	155.600	nan	4.337	nan	0.889	nan
IE7	3383.0	12.581	nan	253.791	nan	0.980	nan	165.400	nan	4.340	nan	0.889	nan
IE7	3866.0	13.160	nan	243.177	nan	0.983	nan	172.800	nan	4.326	nan	0.888	nan
IE7	4349.0	13.279	nan	255.176	nan	0.984	nan	183.600	nan	4.368	nan	0.890	nan
IE7	4832.0	13.843	nan	264.504	nan	0.986	nan	189.700	nan	4.334	nan	0.887	nan
IE8	2.0	0.797	nan	2.400	nan	0.300	nan	1.700	nan	0.700	nan	0.350	nan
IE8	485.0	5.395	nan	122.864	nan	0.939	nan	51.100	nan	3.314	nan	0.806	nan
IE8	968.0	6.978	nan	143.545	nan	0.958	nan	77.000	nan	3.448	nan	0.811	nan
IE8	1451.0	7.783	nan	155.384	nan	0.970	nan	88.700	nan	3.435	nan	0.808	nan
IE8	1934.0	8.697	nan	171.444	nan	0.974	nan	104.500	nan	3.440	nan	0.806	nan
IE8	2417.0	9.129	nan	172.914	nan	0.980	nan	112.000	nan	3.466	nan	0.809	nan
IE8	2900.0	10.061	nan	212.422	nan	0.979	nan	127.600	nan	3.471	nan	0.807	nan
IE8	3383.0	10.522	nan	224.704	nan	0.983	nan	132.500	nan	3.487	nan	0.808	nan
IE8	3866.0	11.019	nan	238.965	nan	0.984	nan	141.400	nan	3.488	nan	0.809	nan
IE8	4349.0	11.426	nan	232.028	nan	0.986	nan	148.700	nan	3.478	nan	0.805	nan
IE8	4832.0	11.332	nan	221.815	nan	0.988	nan	151.000	nan	3.487	nan	0.807	nan
IE9	2.0	0.787	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
IE9	485.0	4.386	nan	83.741	nan	0.950	nan	51.700	nan	3.936	nan	0.893	nan
IE9	968.0	5.151	nan	91.645	nan	0.975	nan	66.000	nan	3.973	nan	0.893	nan
IE9	1451.0	5.989	nan	111.261	nan	0.980	nan	78.700	nan	3.984	nan	0.894	nan
IE9	1934.0	6.663	nan	129.199	nan	0.983	nan	88.100	nan	4.015	nan	0.894	nan
IE9	2417.0	6.885	nan	135.036	nan	0.986	nan	95.600	nan	4.056	nan	0.896	nan
IE9	2900.0	7.403	nan	155.549	nan	0.987	nan	102.600	nan	4.032	nan	0.894	nan
IE9	3383.0	7.962	nan	169.221	nan	0.988	nan	110.100	nan	4.042	nan	0.894	nan
IE9	3866.0	8.054	nan	160.454	nan	0.990	nan	111.200	nan	4.045	nan	0.895	nan
IE9	4349.0	8.273	nan	175.799	nan	0.991	nan	116.500	nan	4.055	nan	0.896	nan
IE9	4832.0	8.459	nan	181.217	nan	0.991	nan	120.000	nan	4.058	nan	0.896	nan
IL1	2.0	0.741	nan	2.400	nan	0.300	nan	1.700	nan	0.700	nan	0.350	nan
IL1	485.0	4.328	nan	86.289	nan	0.954	nan	47.100	nan	3.491	nan	0.814	nan
IL1	968.0	6.087	nan	137.669	nan	0.965	nan	71.000	nan	3.692	nan	0.829	nan
IL1	1451.0	7.433	nan	158.955	nan	0.971	nan	87.100	nan	3.692	nan	0.825	nan
IL1	1934.0	7.882	nan	149.169	nan	0.979	nan	95.300	nan	3.694	nan	0.825	nan
IL1	2417.0	8.655	nan	161.665	nan	0.982	nan	104.900	nan	3.731	nan	0.828	nan
IL1	2900.0	9.129	nan	181.189	nan	0.983	nan	115.800	nan	3.717	nan	0.825	nan
IL1	3383.0	9.326	nan	185.655	nan	0.986	nan	120.000	nan	3.718	nan	0.826	nan
IL1	3866.0	9.780	nan	197.354	nan	0.987	nan	126.200	nan	3.718	nan	0.824	nan
IL1	4349.0	10.411	nan	202.775	nan	0.988	nan	133.400	nan	3.720	nan	0.825	nan
IL1	4832.0	10.983	nan	230.485	nan	0.988	nan	142.800	nan	3.741	nan	0.826	nan
IL2	2.0	1.008	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
IL2	485.0	10.946	nan	203.798	nan	0.879	nan	116.200	nan	5.599	nan	0.953	nan
IL2	968.0	14.122	nan	252.114	nan	0.925	nan	165.500	nan	5.790	nan	0.953	nan
IL2	1451.0	15.711	nan	267.274	nan	0.948	nan	194.200	nan	5.810	nan	0.952	nan
IL2	1934.0	17.163	nan	295.966	nan	0.959	nan	221.500	nan	5.889	nan	0.953	nan
IL2	2417.0	17.815	nan	301.646	nan	0.968	nan	236.400	nan	5.901	nan	0.953	nan
IL2	2900.0	18.625	nan	312.859	nan	0.974	nan	251.200	nan	5.921	nan	0.954	nan
IL2	3383.0	19.002	nan	317.581	nan	0.979	nan	258.600	nan	5.933	nan	0.954	nan
IL2	3866.0	19.567	nan	321.931	nan	0.982	nan	272.300	nan	5.944	nan	0.954	nan
IL2	4349.0	20.062	nan	338.407	nan	0.984	nan	280.500	nan	5.955	nan	0.954	nan
IL2	4832.0	20.309	nan	334.667	nan	0.986	nan	287.000	nan	5.954	nan	0.954	nan
IL3	2.0	0.952	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
IL3	485.0	14.040	nan	240.940	nan	0.848	nan	150.100	nan	6.385	nan	0.980	nan
IL3	968.0	16.936	nan	263.913	nan	0.926	nan	198.700	nan	6.586	nan	0.981	nan
IL3	1451.0	18.145	nan	294.027	nan	0.951	nan	225.200	nan	6.626	nan	0.981	nan
IL3	1934.0	19.437	nan	312.003	nan	0.963	nan	250.500	nan	6.689	nan	0.981	nan
IL3	2417.0	20.101	nan	318.983	nan	0.973	nan	264.000	nan	6.709	nan	0.981	nan
IL3	2900.0	20.506	nan	319.468	nan	0.979	nan	274.000	nan	6.725	nan	0.981	nan
IL3	3383.0	20.932	nan	325.751	nan	0.983	nan	281.800	nan	6.739	nan	0.981	nan
IL3	3866.0	21.440	nan	329.728	nan	0.986	nan	293.200	nan	6.774	nan	0.982	nan
IL3	4349.0	21.916	nan	345.161	nan	0.987	nan	301.900	nan	6.783	nan	0.982	nan
IL3	4832.0	22.014	nan	341.558	nan	0.989	nan	304.300	nan	6.775	nan	0.982	nan
IL4	2.0	0.779	nan	2.200	nan	0.400	nan	1.600	nan	0.600	nan	0.300	nan
IL4	485.0	7.524	nan	116.648	nan	0.926	nan	69.600	nan	3.744	nan	0.787	nan
IL4	968.0	9.621	nan	175.414	nan	0.949	nan	100.600	nan	3.862	nan	0.794	nan
IL4	1451.0	11.153	nan	203.842	nan	0.961	nan	122.000	nan	3.897	nan	0.795	nan
IL4	1934.0	11.934	nan	211.959	nan	0.970	nan	137.400	nan	3.894	nan	0.788	nan
IL4	2417.0	12.782	nan	217.023	nan	0.976	nan	149.900	nan	3.958	nan	0.798	nan
IL4	2900.0	13.315	nan	253.835	nan	0.978	nan	161.000	nan	3.950	nan	0.796	nan
IL4	3383.0	13.991	nan	226.319	nan	0.982	nan	167.700	nan	3.946	nan	0.794	nan
IL4	3866.0	14.468	nan	248.292	nan	0.984	nan	178.900	nan	3.964	nan	0.794	nan
IL4	4349.0	14.787	nan	256.540	nan	0.985	nan	185.400	nan	3.952	nan	0.792	nan
IL4	4832.0	15.548	nan	264.668	nan	0.986	nan	193.100	nan	3.968	nan	0.795	nan
IL6	2.0	0.915	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
IL6	485.0	10.171	nan	204.975	nan	0.876	nan	109.200	nan	5.105	nan	0.928	nan
IL6	968.0	13.139	nan	271.353	nan	0.918	nan	160.700	nan	5.269	nan	0.930	nan
IL6	1451.0	14.759	nan	274.301	nan	0.944	nan	188.500	nan	5.294	nan	0.930	nan
IL6	1934.0	16.399	nan	299.518	nan	0.957	nan	214.300	nan	5.345	nan	0.930	nan
IL6	2417.0	17.287	nan	321.323	nan	0.964	nan	231.500	nan	5.318	nan	0.927	nan
IL6	2900.0	18.513	nan	333.593	nan	0.971	nan	251.000	nan	5.395	nan	0.929	nan
IL6	3383.0	18.594	nan	328.407	nan	0.976	nan	260.000	nan	5.393	nan	0.930	nan
IL6	3866.0	19.481	nan	338.079	nan	0.979	nan	269.600	nan	5.394	nan	0.930	nan
IL6	4349.0	19.628	nan	346.542	nan	0.982	nan	279.100	nan	5.399	nan	0.929	nan
IL6	4832.0	20.077	nan	348.302	nan	0.984	nan	289.500	nan	5.417	nan	0.930	nan
IL8	2.0	0.986	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
IL8	485.0	8.181	nan	136.778	nan	0.918	nan	75.900	nan	4.274	nan	0.887	nan
IL8	968.0	10.433	nan	185.003	nan	0.946	nan	106.300	nan	4.290	nan	0.880	nan
IL8	1451.0	11.304	nan	194.569	nan	0.963	nan	127.400	nan	4.367	nan	0.882	nan
IL8	1934.0	12.578	nan	226.470	nan	0.970	nan	142.300	nan	4.376	nan	0.882	nan
IL8	2417.0	13.294	nan	225.634	nan	0.976	nan	155.000	nan	4.381	nan	0.881	nan
IL8	2900.0	13.941	nan	243.825	nan	0.978	nan	168.200	nan	4.398	nan	0.881	nan
IL8	3383.0	13.854	nan	216.982	nan	0.984	nan	169.700	nan	4.417	nan	0.883	nan
IL8	3866.0	14.928	nan	242.251	nan	0.984	nan	184.600	nan	4.413	nan	0.881	nan
IL8	4349.0	14.897	nan	246.346	nan	0.986	nan	188.300	nan	4.429	nan	0.883	nan
IL8	4832.0	15.550	nan	255.482	nan	0.988	nan	196.500	nan	4.440	nan	0.883	nan
