group	value
Genetic 2	1.22447218
Genetic 2	1.116457999
Genetic 2	0.223712479
Genetic 2	0.102085405
Genetic 2	0.32374487
Genetic 2	1.115895606
Genetic 2	1.558228856
Genetic 2	1.270560617
Genetic 2	0.757312029
Genetic 2	0.892993849
Genetic 2	1.241712669
Genetic 2	1.052669635
Genetic 2	1.374267227
Genetic 2	0.97124644
Genetic 2	1.410432598
Genetic 2	1.023734997
Genetic 2	1.044932955
Genetic 2	1.089424181
Genetic 2	1.197340134
Genetic 2	1.219005254
Genetic 2	1.417260278
Genetic 2	1.399712233
Genetic 2	1.464497236
Genetic 2	0.357267909
Genetic 2	0.636514168
Genetic 2	0.76205489
Genetic 2	1.22350067
Genetic 2	1.218638827
Genetic 2	1.346216414
Genetic 2	1.310242199
Genetic 2	1.283906922
Genetic 2	1.159827235
Genetic 2	0.684227891
Genetic 2	1.575518738
Genetic 2	0.87244125
Genetic 2	0.827221775
Genetic 2	1.351200195
Genetic 2	0.606340295
Genetic 2	0.936888308
Genetic 2	1.242453325
Genetic 2	1.349052032
Genetic 2	1.150903198
Genetic 2	1.528537175
Genetic 2	0
Genetic 2	1.115761142
Genetic 2	0.893572207
Genetic 2	1.517106397
Genetic 2	1.330639876
Genetic 2	1.557241256
Genetic 2	1.161766572
Genetic 2	1.205677391
Genetic 2	1.270368246
Genetic 2	1.125458312
Genetic 2	1.216556585
Genetic 2	0.587440268
Genetic 2	0.997801848
Genetic 2	1.008888744
Genetic 2	0.819548697
Genetic 2	1.689442958
Genetic 2	1.227962423
Genetic 2	1.193330312
Genetic 2	1.571727778
Genetic 2	1.189941064
Genetic 2	0.854412848
Genetic 2	1.479785754
Genetic 2	0.636514168
Genetic 2	1.155310274
Genetic 2	1.390869892
Genetic 2	1.362933189
Genetic 2	1.260980388
Genetic 2	1.457595629
Genetic 2	1.375202094
Genetic 2	1.447847034
Genetic 2	1.499036718
Genetic 2	1.367828358
Genetic 2	0
Genetic 2	1.357595189
Genetic 2	1.428624874
Genetic 2	1.385323806
Genetic 2	1.041765935
Genetic 2	0.997358142
Genetic 2	0.989104203
Genetic 2	1.366913178
Genetic 2	1.439191073
Genetic 2	1.623392047
Genetic 2	1.265477266
Genetic 2	1.181734303
Genetic 2	1.493484013
Genetic 2	1.397356701
Genetic 2	1.234111343
Genetic 2	1.244672538
Genetic 2	0.801277895
Genetic 2	1.242547415
Genetic 2	1.016116512
Genetic 2	1.207007093
Genetic 2	1.389039375
Genetic 2	0.783466156
Genetic 2	0.666278442
Genetic 2	1.446474964
Genetic 2	1.69234777
Genetic 2	1.229828147
Genetic 2	0.916446019
Genetic 2	1.043793881
Genetic 2	0.902363575
Genetic 2	1.214889654
Genetic 2	1.342164923
Genetic 2	1.207776272
Genetic 2	1.218809056
Genetic 2	1.265867002
Genetic 2	1.496142352
Genetic 2	1.141969522
Genetic 2	0.636514168
Genetic 2	1.000371079
Genetic 2	1.538761069
Genetic 2	0.625391345
Genetic 2	1.246299461
Genetic 2	1.654432933
Genetic 2	1.034367768
Genetic 2	1.360479513
Genetic 2	1.37045866
Genetic 2	1.251077045
Genetic 2	1.145407565
Genetic 2	1.382110079
Genetic 2	1.341720818
Genetic 2	1.333252166
Genetic 2	1.168197781
Genetic 2	1.125106018
Genetic 2	1.290930604
Genetic 2	1.265350065
Genetic 2	1.077531813
Genetic 2	1.093043919
Genetic 2	0.57337609
Genetic 2	0.693147181
Genetic 2	1.117833373
Genetic 2	0.806487104
Genetic 2	0.636514168
Genetic 2	1.457210149
Genetic 2	1.294545166
Genetic 2	1.266070402
Genetic 2	0.851184361
Genetic 2	1.059684667
Genetic 2	1.423243833
Genetic 2	0.636514168
Genetic 2	1.383041333
Genetic 2	0.693147181
Genetic 2	1.470853961
Genetic 2	1.293238049

