taxa	organ	pond	sample	value
Bacteroidetes	Hepatopancreas	Pond 1 (G1)	HL5	0.010776663
Chloroflexi	Hepatopancreas	Pond 1 (G1)	HL5	0.000810783
Cyanobacteria	Hepatopancreas	Pond 1 (G1)	HL5	0.24418094
Firmicutes	Hepatopancreas	Pond 1 (G1)	HL5	0.007432181
Fusobacteria	Hepatopancreas	Pond 1 (G1)	HL5	0.001013479
Gemmatimonadetes	Hepatopancreas	Pond 1 (G1)	HL5	0.000202696
OP8	Hepatopancreas	Pond 1 (G1)	HL5	6.76E-05
Planctomycetes	Hepatopancreas	Pond 1 (G1)	HL5	0.005134962
Proteobacteria	Hepatopancreas	Pond 1 (G1)	HL5	0.696091348
Synergistetes	Hepatopancreas	Pond 1 (G1)	HL5	0
Tenericutes	Hepatopancreas	Pond 1 (G1)	HL5	0.019762846
Verrucomicrobia	Hepatopancreas	Pond 1 (G1)	HL5	0.000810783
Actinobacteria	Hepatopancreas	Pond 1 (G1)	HL7	0.022954284
Bacteroidetes	Hepatopancreas	Pond 1 (G1)	HL7	0.011669228
Chloroflexi	Hepatopancreas	Pond 1 (G1)	HL7	0.000816366
Cyanobacteria	Hepatopancreas	Pond 1 (G1)	HL7	0.226421437
Firmicutes	Hepatopancreas	Pond 1 (G1)	HL7	0.001728774
Fusobacteria	Hepatopancreas	Pond 1 (G1)	HL7	0.001056473
Gemmatimonadetes	Hepatopancreas	Pond 1 (G1)	HL7	0.000192086
OP8	Hepatopancreas	Pond 1 (G1)	HL7	4.80E-05
Planctomycetes	Hepatopancreas	Pond 1 (G1)	HL7	0.004562044
Proteobacteria	Hepatopancreas	Pond 1 (G1)	HL7	0.729254706
Synergistetes	Hepatopancreas	Pond 1 (G1)	HL7	0
Tenericutes	Hepatopancreas	Pond 1 (G1)	HL7	9.60E-05
Verrucomicrobia	Hepatopancreas	Pond 1 (G1)	HL7	0.001200538
Actinobacteria	Gut	Pond 3 (G2)	IA2	0.002334953
Bacteroidetes	Gut	Pond 3 (G2)	IA2	0.001062004
Chloroflexi	Gut	Pond 3 (G2)	IA2	0.00040007
Cyanobacteria	Gut	Pond 3 (G2)	IA2	0.255506416
Firmicutes	Gut	Pond 3 (G2)	IA2	0.001760307
Fusobacteria	Gut	Pond 3 (G2)	IA2	0.000814688
Gemmatimonadetes	Gut	Pond 3 (G2)	IA2	2.91E-05
OP8	Gut	Pond 3 (G2)	IA2	4.36E-05
Planctomycetes	Gut	Pond 3 (G2)	IA2	0.00021822
Proteobacteria	Gut	Pond 3 (G2)	IA2	0.737408711
Synergistetes	Gut	Pond 3 (G2)	IA2	2.18E-05
Tenericutes	Gut	Pond 3 (G2)	IA2	7.27E-06
Verrucomicrobia	Gut	Pond 3 (G2)	IA2	0.000392796
Actinobacteria	Gut	Pond 3 (G2)	IA3	0.004075344
Bacteroidetes	Gut	Pond 3 (G2)	IA3	0.001630138
Chloroflexi	Gut	Pond 3 (G2)	IA3	0.000596392
Cyanobacteria	Gut	Pond 3 (G2)	IA3	0.073843248
Firmicutes	Gut	Pond 3 (G2)	IA3	0.003757269
Fusobacteria	Gut	Pond 3 (G2)	IA3	0.005665722
Gemmatimonadetes	Gut	Pond 3 (G2)	IA3	6.96E-05
OP8	Gut	Pond 3 (G2)	IA3	9.94E-06
Planctomycetes	Gut	Pond 3 (G2)	IA3	0.001331942
